region_id,기준일자,카드매출,업종수,사업체수,경쟁도
1111051500,20254,,77,917,
1111053000,20254,,92,2655,
1111054000,20254,,68,714,
1111055000,20254,,78,435,
1111056000,20254,,82,635,
1111057000,20254,,57,167,
1111058000,20254,,66,295,
1111060000,20254,,71,610,
1111061500,20254,,95,9877,
1111063000,20254,,83,1873,
1111064000,20254,,81,675,
1111065000,20254,,85,1331,
1111067000,20254,,78,1538,
1111068000,20254,,61,346,
1111069000,20254,,48,158,
1111070000,20254,,65,259,
1111071000,20254,,82,831,
1114052000,20254,,86,2681,
1114054000,20254,,85,4752,
1114055000,20254,,90,4294,
1114057000,20254,,90,1160,
1114058000,20254,,68,495,
1114059000,20254,,93,4885,
1114060500,20254,,91,2850,
1114061000,20254,,0,0,
1114061500,20254,,88,9992,
1114062000,20254,,0,0,
1114062500,20254,,84,809,
1114063000,20254,,0,0,
1114063500,20254,,79,632,
1114064000,20254,,0,0,
1114064500,20254,,76,437,
1114065000,20254,,83,720,
1114066000,20254,,0,0,
1114066500,20254,,78,531,
1114067000,20254,,85,1305,
1114068000,20254,,79,626,
1117051000,20254,,81,825,
1117052000,20254,,72,604,
1117053000,20254,,93,1170,
1117055500,20254,,89,1179,
1117056000,20254,,86,1548,
1117057000,20254,,82,829,
1117058000,20254,,65,324,
1117059000,20254,,74,519,
1117062500,20254,,96,4886,
1117063000,20254,,73,744,
1117064000,20254,,64,267,
1117065000,20254,,85,1549,
1117066000,20254,,79,835,
1117068500,20254,,90,2297,
1117069000,20254,,73,344,
1117070000,20254,,79,555,
1120052000,20254,,72,535,
1120053500,20254,,90,1758,
1120054000,20254,,86,2216,
1120055000,20254,,71,705,
1120056000,20254,,88,1086,
1120057000,20254,,73,498,
1120058000,20254,,66,271,
1120059000,20254,,76,413,
1120061500,20254,,75,805,
1120062000,20254,,76,521,
1120064500,20254,,75,809,
1120065000,20254,,87,1114,
1120066000,20254,,94,2081,
1120067000,20254,,90,1540,
1120069000,20254,,98,3152,
1120072000,20254,,79,459,
1120079000,20254,,86,1147,
1121571000,20254,,97,2151,
1121573000,20254,,87,1278,
1121574000,20254,,87,1177,
1121575000,20254,,87,1159,
1121576000,20254,,81,783,
1121577000,20254,,83,982,
1121578000,20254,,84,613,
1121581000,20254,,90,1040,
1121582000,20254,,91,1230,
1121583000,20254,,91,1056,
1121584000,20254,,89,1187,
1121584700,20254,,92,1486,
1121585000,20254,,88,1385,
1121586000,20254,,88,939,
1121587000,20254,,96,2233,
1123053600,20254,,94,2618,
1123054500,20254,,90,3054,
1123056000,20254,,95,1923,
1123057000,20254,,76,590,
1123060000,20254,,85,1137,
1123061000,20254,,89,1619,
1123065000,20254,,94,2575,
1123066000,20254,,92,1956,
1123070500,20254,,86,1099,
1123071000,20254,,74,901,
1123072000,20254,,81,654,
1123073000,20254,,74,558,
1123074000,20254,,84,894,
1123075000,20254,,72,449,
1126052000,20254,,86,1063,
1126054000,20254,,72,525,
1126055000,20254,,77,437,
1126056500,20254,,91,1546,
1126057000,20254,,80,910,
1126057500,20254,,90,1288,
1126058000,20254,,80,825,
1126059000,20254,,90,1622,
1126060000,20254,,78,604,
1126061000,20254,,83,1199,
1126062000,20254,,85,1040,
1126063000,20254,,83,899,
1126065500,20254,,92,1911,
1126066000,20254,,75,500,
1126068000,20254,,87,1230,
1126069000,20254,,80,681,
1129052500,20254,,88,998,
1129055500,20254,,92,1436,
1129057500,20254,,88,1710,
1129058000,20254,,62,343,
1129059000,20254,,70,437,
1129060000,20254,,81,996,
1129061000,20254,,82,723,
1129062000,20254,,76,544,
1129063000,20254,,75,631,
1129064000,20254,,75,473,
1129065000,20254,,81,629,
1129066000,20254,,82,909,
1129068500,20254,,77,1062,
1129070500,20254,,84,1274,
1129071500,20254,,82,836,
1129072500,20254,,87,969,
1129076000,20254,,78,656,
1129077000,20254,,73,660,
1129078000,20254,,72,400,
1129081000,20254,,85,1286,
1130553400,20254,,78,638,
1130553500,20254,,83,1156,
1130554500,20254,,93,1557,
1130555500,20254,,85,1186,
1130557500,20254,,76,686,
1130559500,20254,,87,1220,
1130560300,20254,,66,295,
1130560800,20254,,70,354,
1130561500,20254,,87,989,
1130562500,20254,,84,832,
1130563500,20254,,91,1956,
1130564500,20254,,78,749,
1130566000,20254,,84,924,
1132051100,20254,,79,713,
1132051200,20254,,83,841,
1132051300,20254,,73,564,
1132051400,20254,,86,949,
1132051500,20254,,92,1888,
1132052100,20254,,86,1005,
1132052200,20254,,83,896,
1132066000,20254,,77,515,
1132067000,20254,,86,869,
1132068000,20254,,80,686,
1132068100,20254,,65,407,
1132069000,20254,,84,1580,
1132070000,20254,,73,704,
1132071000,20254,,72,490,
1135056000,20254,,83,905,
1135057000,20254,,74,459,
1135058000,20254,,76,580,
1135059500,20254,,95,2049,
1135060000,20254,,92,1287,
1135061100,20254,,75,705,
1135061200,20254,,59,280,
1135061900,20254,,82,1094,
1135062100,20254,,77,824,
1135062400,20254,,75,797,
1135062500,20254,,80,1019,
1135063000,20254,,86,1312,
1135064000,20254,,93,2383,
1135066500,20254,,80,840,
1135067000,20254,,87,1167,
1135069500,20254,,82,1432,
1135070000,20254,,67,373,
1135071000,20254,,70,428,
1135072000,20254,,73,349,
1138051000,20254,,88,1240,
1138052000,20254,,84,1151,
1138053000,20254,,88,1010,
1138055100,20254,,85,1074,
1138055200,20254,,88,1265,
1138056000,20254,,77,787,
1138057000,20254,,93,2065,
1138058000,20254,,89,1326,
1138059000,20254,,77,597,
1138060000,20254,,88,1396,
1138062500,20254,,90,1785,
1138063100,20254,,83,897,
1138063200,20254,,72,518,
1138064000,20254,,77,595,
1138065000,20254,,75,451,
1138069000,20254,,93,1819,
1141052000,20254,,68,573,
1141055500,20254,,80,593,
1141056500,20254,,81,1070,
1141058500,20254,,95,3251,
1141061500,20254,,91,1867,
1141062000,20254,,83,679,
1141064000,20254,,80,792,
1141065500,20254,,73,398,
1141066000,20254,,80,652,
1141068500,20254,,84,785,
1141069000,20254,,75,557,
1141070000,20254,,88,1086,
1141071000,20254,,70,394,
1141072000,20254,,81,1052,
1144055500,20254,,84,1275,
1144056500,20254,,89,1763,
1144058500,20254,,89,1352,
1144059000,20254,,88,1586,
1144060000,20254,,89,1296,
1144061000,20254,,79,662,
1144063000,20254,,90,1009,
1144065500,20254,,90,1587,
1144066000,20254,,98,8101,
1144068000,20254,,94,1939,
1144069000,20254,,86,1715,
1144070000,20254,,88,1110,
1144071000,20254,,89,2311,
1144072000,20254,,90,1089,
1144073000,20254,,91,1395,
1144074000,20254,,89,1720,
1147051000,20254,,92,2562,
1147052000,20254,,88,950,
1147053000,20254,,86,1061,
1147054000,20254,,83,1109,
1147055000,20254,,80,1455,
1147056000,20254,,80,1031,
1147057000,20254,,75,629,
1147058000,20254,,76,494,
1147059000,20254,,76,656,
1147060000,20254,,80,549,
1147061000,20254,,75,486,
1147061100,20254,,81,644,
1147062000,20254,,83,999,
1147063000,20254,,79,922,
1147064000,20254,,90,1017,
1147065000,20254,,94,2359,
1147067000,20254,,66,639,
1147068000,20254,,80,751,
1150051000,20254,,93,1331,
1150052000,20254,,91,1368,
1150053000,20254,,75,508,
1150053500,20254,,91,1750,
1150054000,20254,,95,2142,
1150055000,20254,,77,573,
1150056000,20254,,78,948,
1150057000,20254,,83,1062,
1150059000,20254,,83,1065,
1150059100,20254,,85,1209,
1150059300,20254,,84,958,
1150060300,20254,,98,4729,
1150060400,20254,,76,389,
1150060500,20254,,73,333,
1150061100,20254,,94,3740,
1150061500,20254,,88,1266,
1150062000,20254,,88,1277,
1150063000,20254,,93,1877,
1150064000,20254,,87,1432,
1150064100,20254,,80,506,
1153051000,20254,,91,1642,
1153052000,20254,,81,507,
1153053000,20254,,94,4741,
1153054000,20254,,93,3426,
1153055000,20254,,87,1560,
1153056000,20254,,98,2547,
1153059500,20254,,76,712,
1153072000,20254,,89,1218,
1153073000,20254,,87,1005,
1153074000,20254,,89,1171,
1153075000,20254,,78,713,
1153076000,20254,,80,653,
1153077000,20254,,87,860,
1153078000,20254,,83,959,
1153079000,20254,,82,616,
1153080000,20254,,67,367,
1154551000,20254,,96,7954,
1154561000,20254,,95,2248,
1154562000,20254,,83,678,
1154563000,20254,,89,1243,
1154564000,20254,,83,616,
1154567000,20254,,91,2063,
1154568000,20254,,71,351,
1154569000,20254,,80,939,
1154570000,20254,,67,430,
1154571000,20254,,76,715,
1156051500,20254,,87,1212,
1156053500,20254,,97,3748,
1156054000,20254,,95,5152,
1156055000,20254,,96,2441,
1156056000,20254,,94,1786,
1156058500,20254,,84,697,
1156060500,20254,,96,2667,
1156061000,20254,,92,1244,
1156062000,20254,,89,1447,
1156063000,20254,,81,795,
1156065000,20254,,89,720,
1156066000,20254,,72,335,
1156067000,20254,,62,288,
1156068000,20254,,84,962,
1156069000,20254,,80,479,
1156070000,20254,,79,702,
1156071000,20254,,82,1190,
1156072000,20254,,92,1408,
1159051000,20254,,87,1357,
1159052000,20254,,79,1376,
1159053000,20254,,93,1385,
1159054000,20254,,88,1035,
1159055000,20254,,83,721,
1159056000,20254,,79,715,
1159060500,20254,,86,1152,
1159062000,20254,,90,1477,
1159063000,20254,,91,1342,
1159064000,20254,,84,664,
1159065000,20254,,80,509,
1159065100,20254,,66,352,
1159066000,20254,,88,1293,
1159067000,20254,,78,812,
1159068000,20254,,86,944,
1162052500,20254,,81,1175,
1162054500,20254,,70,365,
1162056500,20254,,80,570,
1162057500,20254,,91,1229,
1162058500,20254,,90,1199,
1162059500,20254,,93,1649,
1162060500,20254,,90,1180,
1162061500,20254,,86,806,
1162062500,20254,,82,856,
1162063000,20254,,86,754,
1162064500,20254,,88,1095,
1162065500,20254,,81,671,
1162066500,20254,,79,637,
1162068500,20254,,84,1053,
1162069500,20254,,94,1527,
1162071500,20254,,67,292,
1162072500,20254,,90,1200,
1162073500,20254,,76,1074,
1162074500,20254,,77,560,
1162076500,20254,,89,993,
1162077500,20254,,76,569,
1165051000,20254,,97,2993,
1165052000,20254,,96,3760,
1165053000,20254,,97,6743,
1165053100,20254,,91,3165,
1165054000,20254,,92,1856,
1165055000,20254,,68,371,
1165056000,20254,,91,1661,
1165057000,20254,,69,438,
1165058000,20254,,78,1069,
1165058100,20254,,89,3059,
1165059000,20254,,88,1280,
1165060000,20254,,89,1309,
1165061000,20254,,94,1340,
1165062000,20254,,83,672,
1165062100,20254,,94,1794,
1165065100,20254,,93,2690,
1165065200,20254,,96,3378,
1165066000,20254,,82,884,
1168051000,20254,,94,3996,
1168052100,20254,,100,4191,
1168053100,20254,,94,4465,
1168054500,20254,,93,4395,
1168056500,20254,,96,4440,
1168058000,20254,,94,3496,
1168059000,20254,,93,2929,
1168060000,20254,,73,1035,
1168061000,20254,,93,2868,
1168063000,20254,,96,3777,
1168064000,20254,,99,11118,
1168065000,20254,,93,3041,
1168065500,20254,,88,1334,
1168065600,20254,,88,1498,
1168066000,20254,,47,192,
1168067000,20254,,76,933,
1168067500,20254,,0,0,
1168069000,20254,,92,1418,
1168070000,20254,,86,1244,
1168072000,20254,,63,415,
1168073000,20254,,80,690,
1168074000,20254,,70,399,
1168075000,20254,,77,763,
1171051000,20254,,75,422,
1171052000,20254,,82,768,
1171053100,20254,,81,550,
1171053200,20254,,78,667,
1171054000,20254,,75,558,
1171055000,20254,,80,853,
1171056100,20254,,84,1127,
1171056200,20254,,96,2515,
1171056600,20254,,70,422,
1171057000,20254,,90,1672,
1171058000,20254,,95,1852,
1171059000,20254,,82,814,
1171060000,20254,,97,2307,
1171061000,20254,,89,1529,
1171062000,20254,,94,2371,
1171063100,20254,,73,3420,
1171063200,20254,,87,1493,
1171064100,20254,,89,1102,
1171064200,20254,,95,5684,
1171064600,20254,,85,934,
1171064700,20254,,79,919,
