region_id,기준일자,주민등록인구,생활인구,주간생활인구,야간생활인구,주야간생활인구비율,세대수
1111051500,2026-05,,17792.93,21573.8,15092.3,1.43,
1111053000,2026-05,,23617.04,35281.73,15285.11,2.31,
1111054000,2026-05,,7175.33,10323.1,4926.92,2.1,
1111055000,2026-05,,11338.52,11758.31,11038.68,1.07,
1111056000,2026-05,,18571.9,17195.46,19555.07,0.88,
1111057000,2026-05,,6197.2,5709.69,6545.43,0.87,
1111058000,2026-05,,7248.76,7780.07,6869.25,1.13,
1111060000,2026-05,,5963.09,8564.45,4104.97,2.09,
1111061500,2026-05,,62174.58,95483.37,38382.59,2.49,
1111063000,2026-05,,14239.19,19859.77,10224.5,1.94,
1111064000,2026-05,,35474.74,47181.37,27112.87,1.74,
1111065000,2026-05,,32925.09,36282.89,30526.66,1.19,
1111067000,2026-05,,8387.91,9555.35,7554.03,1.26,
1111068000,2026-05,,6832.28,6120.77,7340.49,0.83,
1111069000,2026-05,,4816.64,3601.31,5684.74,0.63,
1111070000,2026-05,,8254.54,8303.97,8219.23,1.01,
1111071000,2026-05,,12095.7,13922.34,10790.96,1.29,
1114052000,2026-05,,23696.0,41752.32,10798.63,3.87,
1114054000,2026-05,,26799.06,46146.26,12979.62,3.56,
1114055000,2026-05,,38080.27,63384.9,20005.54,3.17,
1114057000,2026-05,,14332.37,20476.53,9943.68,2.06,
1114058000,2026-05,,11700.07,15763.42,8797.67,1.79,
1114059000,2026-05,,23325.89,32043.85,17098.77,1.87,
1114060500,2026-05,,16048.01,24109.12,10290.08,2.34,
1114061500,2026-05,,20010.37,21623.34,18858.24,1.15,
1114062500,2026-05,,13634.37,14237.89,13203.29,1.08,
1114063500,2026-05,,13256.97,12173.98,14030.53,0.87,
1114064500,2026-05,,9133.28,7773.91,10104.26,0.77,
1114065000,2026-05,,6572.16,6663.46,6506.96,1.02,
1114066500,2026-05,,11940.37,11718.83,12098.62,0.97,
1114067000,2026-05,,12165.74,11445.22,12680.4,0.9,
1114068000,2026-05,,7825.93,9196.31,6847.08,1.34,
1117051000,2026-05,,12378.6,11312.85,13139.85,0.86,
1117052000,2026-05,,12202.46,12696.34,11849.7,1.07,
1117053000,2026-05,,16799.56,23633.44,11918.22,1.98,
1117055500,2026-05,,23001.79,24428.39,21982.79,1.11,
1117056000,2026-05,,18379.95,18308.64,18430.88,0.99,
1117057000,2026-05,,14069.83,12873.41,14924.41,0.86,
1117058000,2026-05,,10430.69,10261.06,10551.85,0.97,
1117059000,2026-05,,7090.61,6112.24,7789.44,0.78,
1117062500,2026-05,,53257.86,69812.02,41433.45,1.68,
1117063000,2026-05,,25351.53,24971.72,25622.83,0.97,
1117064000,2026-05,,7755.88,7671.49,7816.16,0.98,
1117065000,2026-05,,11372.26,11425.13,11334.49,1.01,
1117066000,2026-05,,10932.31,10436.06,11286.77,0.92,
1117068500,2026-05,,28331.31,34833.29,23687.04,1.47,
1117069000,2026-05,,15284.97,17458.12,13732.72,1.27,
1117070000,2026-05,,6645.74,6582.76,6690.72,0.98,
1120052000,2026-05,,14573.21,12006.75,16406.4,0.73,
1120053500,2026-05,,21978.27,21225.0,22516.33,0.94,
1120054000,2026-05,,18930.44,17725.24,19791.3,0.9,
1120055000,2026-05,,26620.91,30670.88,23728.06,1.29,
1120056000,2026-05,,41156.7,45085.36,38350.52,1.18,
1120057000,2026-05,,16182.06,12856.22,18557.66,0.69,
1120058000,2026-05,,10376.98,8388.89,11797.04,0.71,
1120059000,2026-05,,12375.96,11062.25,13314.32,0.83,
1120061500,2026-05,,17645.78,14702.76,19747.94,0.74,
1120062000,2026-05,,11064.93,10657.54,11355.92,0.94,
1120064500,2026-05,,27402.71,26704.42,27901.49,0.96,
1120065000,2026-05,,18760.64,23615.04,15293.21,1.54,
1120066000,2026-05,,22933.61,29115.23,18518.16,1.57,
1120067000,2026-05,,18285.03,20914.59,16406.77,1.27,
1120069000,2026-05,,40219.47,55115.45,29579.48,1.86,
1120072000,2026-05,,9645.98,8920.26,10164.36,0.88,
1120079000,2026-05,,16986.76,17272.43,16782.72,1.03,
1121571000,2026-05,,41858.7,43018.81,41030.04,1.05,
1121573000,2026-05,,25115.62,26285.74,24279.83,1.08,
1121574000,2026-05,,14302.33,13335.01,14993.28,0.89,
1121575000,2026-05,,17562.26,15074.55,19339.2,0.78,
1121576000,2026-05,,12996.25,12009.16,13701.31,0.88,
1121577000,2026-05,,23697.22,21732.57,25100.54,0.87,
1121578000,2026-05,,15520.24,18998.5,13035.77,1.46,
1121581000,2026-05,,35409.65,33926.85,36468.8,0.93,
1121582000,2026-05,,23223.25,21999.86,24097.1,0.91,
1121583000,2026-05,,24016.79,22634.43,25004.19,0.91,
1121584000,2026-05,,26492.06,25611.47,27121.05,0.94,
1121584700,2026-05,,28303.42,29858.42,27192.71,1.1,
1121585000,2026-05,,20596.55,18581.0,22036.23,0.84,
1121586000,2026-05,,18788.27,17120.59,19979.47,0.86,
1121587000,2026-05,,27798.9,28587.49,27235.62,1.05,
1123053600,2026-05,,40176.32,41309.63,39366.82,1.05,
1123054500,2026-05,,30939.11,32615.04,29742.02,1.1,
1123056000,2026-05,,36304.22,37267.98,35615.83,1.05,
1123057000,2026-05,,14504.77,14593.13,14441.66,1.01,
1123060000,2026-05,,23158.35,20873.4,24790.45,0.84,
1123061000,2026-05,,20438.23,17499.73,22537.16,0.78,
1123065000,2026-05,,33474.2,31946.53,34565.38,0.92,
1123066000,2026-05,,28337.58,27149.54,29186.18,0.93,
1123070500,2026-05,,19470.6,21353.33,18125.79,1.18,
1123071000,2026-05,,19850.51,21697.18,18531.47,1.17,
1123072000,2026-05,,20080.93,18604.95,21135.2,0.88,
1123073000,2026-05,,18471.1,16682.97,19748.34,0.84,
1123074000,2026-05,,37044.33,35790.67,37939.8,0.94,
1123075000,2026-05,,12192.99,10010.55,13751.88,0.73,
1126052000,2026-05,,19108.29,16644.42,20868.19,0.8,
1126054000,2026-05,,14737.35,13169.67,15857.12,0.83,
