region_id,기준일자,실거래가,전세가,전세가율,거래량
1111058000,2023-09,10462.0,,,2.0
1111060000,2023-09,21000.0,,,1.0
1114061000,2023-09,2000.0,,,0.09
1114061500,2023-09,2000.0,,,0.09
1114062000,2023-09,2000.0,,,0.09
1114062500,2023-09,2000.0,,,0.09
1114063000,2023-09,2000.0,,,0.09
1114063500,2023-09,2000.0,,,0.09
1114064000,2023-09,2000.0,,,0.09
1114064500,2023-09,2000.0,,,0.09
1114065000,2023-09,2000.0,,,0.09
1114066000,2023-09,2000.0,,,0.09
1114066500,2023-09,2000.0,,,0.09
1117062500,2023-09,3411.0,,,1.0
1117063000,2023-09,44000.0,44000.0,,0.5
1117064000,2023-09,44000.0,44000.0,,0.5
1117065000,2023-09,7500.0,14000.0,,1.0
1117066000,2023-09,7500.0,14000.0,,1.0
1117068500,2023-09,10000.0,,,1.0
1117070000,2023-09,650.0,,,2.0
1120055000,2023-09,3000.0,,,0.33
1120056000,2023-09,3000.0,,,0.33
1120057000,2023-09,3000.0,,,0.33
1120059000,2023-09,18000.0,18000.0,,1.0
1120067000,2023-09,15000.0,15000.0,,0.5
1120069000,2023-09,15000.0,15000.0,,0.5
1120079000,2023-09,4200.0,,,1.0
1121578000,2023-09,40000.0,40000.0,,1.0
1121581000,2023-09,75000.0,75000.0,,1.0
1121582000,2023-09,15966.67,46650.0,,1.5
1121583000,2023-09,15966.67,46650.0,,1.5
1121584000,2023-09,15966.67,46650.0,,1.5
1121584700,2023-09,15966.67,46650.0,,1.5
1121585000,2023-09,15266.67,21400.0,,1.0
1121586000,2023-09,15266.67,21400.0,,1.0
1121587000,2023-09,15266.67,21400.0,,1.0
1123056000,2023-09,100000.0,100000.0,,0.33
1123057000,2023-09,100000.0,100000.0,,0.33
1123060000,2023-09,100000.0,100000.0,,0.33
1123065000,2023-09,1500.0,,,0.5
1123066000,2023-09,1500.0,,,0.5
1123070500,2023-09,31500.0,31500.0,,1.0
1123072000,2023-09,6750.0,13000.0,,1.0
1123073000,2023-09,6750.0,13000.0,,1.0
1123074000,2023-09,31000.0,,,0.5
1123075000,2023-09,31000.0,,,0.5
1126052000,2023-09,1325.0,,,0.67
1126054000,2023-09,1325.0,,,0.67
1126055000,2023-09,1325.0,,,0.67
1126056500,2023-09,1325.0,,,0.67
1126057000,2023-09,1325.0,,,0.67
1126057500,2023-09,1325.0,,,0.67
1126058000,2023-09,4000.0,4000.0,,0.5
1126059000,2023-09,4000.0,4000.0,,0.5
1129052500,2023-09,1000.0,,,1.0
1129057500,2023-09,3000.0,,,1.0
1129076000,2023-09,500.0,,,0.33
1129077000,2023-09,500.0,,,0.33
1129078000,2023-09,500.0,,,0.33
1129081000,2023-09,25700.0,25700.0,,1.0
1130553400,2023-09,2600.0,5000.0,,0.4
1130553500,2023-09,2600.0,5000.0,,0.4
1130554500,2023-09,2600.0,5000.0,,0.4
1130555500,2023-09,2600.0,5000.0,,0.4
1130557500,2023-09,2600.0,5000.0,,0.4
1130561000,2023-09,1000.0,,,0.12
1130561500,2023-09,1000.0,,,0.12
1130562000,2023-09,1000.0,,,0.12
1130562500,2023-09,1000.0,,,0.12
1130563000,2023-09,1000.0,,,0.12
1130563500,2023-09,1000.0,,,0.12
1130564500,2023-09,1000.0,,,0.12
