region_id,시도명,시군구명,행정동명,가격_기준월,실거래가,서울평균_실거래가,실거래가_서울평균대비율,실거래가_서울평균대비금액,전세가,서울평균_전세가,전세가_서울평균대비율,전세가_서울평균대비금액,거래량,거래량_해석주의,생활인구_기준월,생활인구,주민등록인구,세대수,안전_기준일자,안심시설수,유흥시설수,CCTV수,경찰시설수,안전_매핑방법,안전_데이터출처,가격_데이터여부,생활인구_데이터여부,안전_데이터여부
1168066000,서울특별시,강남구,개포1동,2025-12,52535.03,25429.86,106.59,27105.17,70486.91,44824.13,57.25,25662.78,63.2,False,2026-05,24920.06,,,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1168067000,서울특별시,강남구,개포2동,2025-12,53015.66,25429.86,108.48,27585.8,72416.4,44824.13,61.56,27592.27,102.8,False,2026-05,29154.2,,,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1168067500,서울특별시,강남구,개포3동,2026-01,10666.67,33950.07,-68.58,-23283.4,,53048.43,,,0.6,True,,,,,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,False,True
1168069000,서울특별시,강남구,개포4동,2025-12,52535.03,25429.86,106.59,27105.17,70486.91,44824.13,57.25,25662.78,63.2,False,2026-05,15552.41,,,2026-06-17,0,3,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1168052100,서울특별시,강남구,논현1동,2025-12,27145.53,25429.86,6.75,1715.67,64656.65,44824.13,44.25,19832.52,87.5,False,2026-05,37942.11,,,2026-06-17,0,30,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1168053100,서울특별시,강남구,논현2동,2025-12,27145.53,25429.86,6.75,1715.67,64656.65,44824.13,44.25,19832.52,87.5,False,2026-05,44687.0,,,2026-06-17,0,45,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1168060000,서울특별시,강남구,대치1동,2026-01,10666.67,33950.07,-68.58,-23283.4,,53048.43,,,0.6,True,2026-05,29129.95,,,2026-06-17,0,2,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1168061000,서울특별시,강남구,대치2동,2026-01,10666.67,33950.07,-68.58,-23283.4,,53048.43,,,0.6,True,2026-05,48382.58,,,2026-06-17,0,4,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1168063000,서울특별시,강남구,대치4동,2026-01,10666.67,33950.07,-68.58,-23283.4,,53048.43,,,0.6,True,2026-05,39785.99,,,2026-06-17,0,9,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1168065500,서울특별시,강남구,도곡1동,2025-12,77874.88,25429.86,206.23,52445.02,115251.99,44824.13,157.12,70427.86,99.5,False,2026-05,43673.78,,,2026-06-17,0,2,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1168065600,서울특별시,강남구,도곡2동,2025-12,77874.88,25429.86,206.23,52445.02,115251.99,44824.13,157.12,70427.86,99.5,False,2026-05,25744.36,,,2026-06-17,0,4,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1168058000,서울특별시,강남구,삼성1동,2025-12,49679.49,25429.86,95.36,24249.63,90866.98,44824.13,102.72,46042.85,80.5,False,2026-05,39870.43,,,2026-06-17,0,8,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1168059000,서울특별시,강남구,삼성2동,2025-12,49679.49,25429.86,95.36,24249.63,90866.98,44824.13,102.72,46042.85,80.5,False,2026-05,36744.44,,,2026-06-17,0,35,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1168070000,서울특별시,강남구,세곡동,2025-12,26257.05,25429.86,3.25,827.19,41289.85,44824.13,-7.88,-3534.28,284.0,False,2026-05,45178.56,,,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1168075000,서울특별시,강남구,수서동,2025-12,44875.84,25429.86,76.47,19445.98,54048.49,44824.13,20.58,9224.36,31.67,False,2026-05,23670.4,,,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1168051000,서울특별시,강남구,신사동,2025-12,70282.95,25429.86,176.38,44853.09,98569.85,44824.13,119.9,53745.72,66.0,False,2026-05,32885.48,,,2026-06-17,0,15,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1168054500,서울특별시,강남구,압구정동,2025-12,70282.95,25429.86,176.38,44853.09,98569.85,44824.13,119.9,53745.72,66.0,False,2026-05,40402.79,,,2026-06-17,0,13,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1168064000,서울특별시,강남구,역삼1동,2025-12,33729.58,25429.86,32.64,8299.72,62685.94,44824.13,39.85,17861.81,226.0,False,2026-05,92818.26,,,2026-06-17,0,121,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1168065000,서울특별시,강남구,역삼2동,2025-12,33729.58,25429.86,32.64,8299.72,62685.94,44824.13,39.85,17861.81,226.0,False,2026-05,51495.69,,,2026-06-17,0,19,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
1168073000,서울특별시,강남구,일원1동,2025-12,49825.03,25429.86,95.93,24395.17,64085.76,44824.13,42.97,19261.63,71.27,False,2026-05,13247.32,,,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보",True,True,True
