region_id,기준일자,지하철_기준일자,버스_기준일자,지하철역수,지하철노선수,최근접지하철역명,최근접지하철역거리_m,버스정류소수,버스정류소_면적당,교통_매핑방법,교통_데이터출처
1111051500,2026-07-13,2026-07-13,2026-07-01,0,0,경복궁(정부서울청사),1012.0,29,11.29,WGS84 좌표의 행정동 경계 포함 여부; 최근접 거리는 행정동 대표 중심점 기준 직선거리,서울특별시 T-DATA 지하철역 좌표정보; 서울 열린데이터광장 서울시 버스정류소 위치정보
1111053000,2026-07-13,2026-07-13,2026-07-01,2,2,경복궁(정부서울청사),348.0,33,28.506,WGS84 좌표의 행정동 경계 포함 여부; 최근접 거리는 행정동 대표 중심점 기준 직선거리,서울특별시 T-DATA 지하철역 좌표정보; 서울 열린데이터광장 서울시 버스정류소 위치정보
1111054000,2026-07-13,2026-07-13,2026-07-01,0,0,안국,1371.0,17,11.508,WGS84 좌표의 행정동 경계 포함 여부; 최근접 거리는 행정동 대표 중심점 기준 직선거리,서울특별시 T-DATA 지하철역 좌표정보; 서울 열린데이터광장 서울시 버스정류소 위치정보
1111055000,2026-07-13,2026-07-13,2026-07-01,0,0,홍제,1956.0,34,14.956,WGS84 좌표의 행정동 경계 포함 여부; 최근접 거리는 행정동 대표 중심점 기준 직선거리,서울특별시 T-DATA 지하철역 좌표정보; 서울 열린데이터광장 서울시 버스정류소 위치정보
1111056000,2026-07-13,2026-07-13,2026-07-01,0,0,독바위,3112.0,54,6.04,WGS84 좌표의 행정동 경계 포함 여부; 최근접 거리는 행정동 대표 중심점 기준 직선거리,서울특별시 T-DATA 지하철역 좌표정보; 서울 열린데이터광장 서울시 버스정류소 위치정보
1111057000,2026-07-13,2026-07-13,2026-07-01,0,0,독립문,291.0,4,10.833,WGS84 좌표의 행정동 경계 포함 여부; 최근접 거리는 행정동 대표 중심점 기준 직선거리,서울특별시 T-DATA 지하철역 좌표정보; 서울 열린데이터광장 서울시 버스정류소 위치정보
1111058000,2026-07-13,2026-07-13,2026-07-01,0,0,서대문,628.0,22,63.461,WGS84 좌표의 행정동 경계 포함 여부; 최근접 거리는 행정동 대표 중심점 기준 직선거리,서울특별시 T-DATA 지하철역 좌표정보; 서울 열린데이터광장 서울시 버스정류소 위치정보
1111060000,2026-07-13,2026-07-13,2026-07-01,0,0,안국,677.0,21,38.918,WGS84 좌표의 행정동 경계 포함 여부; 최근접 거리는 행정동 대표 중심점 기준 직선거리,서울특별시 T-DATA 지하철역 좌표정보; 서울 열린데이터광장 서울시 버스정류소 위치정보
1111061500,2026-07-13,2026-07-13,2026-07-01,5,3,종로3가,296.0,68,28.166,WGS84 좌표의 행정동 경계 포함 여부; 최근접 거리는 행정동 대표 중심점 기준 직선거리,서울특별시 T-DATA 지하철역 좌표정보; 서울 열린데이터광장 서울시 버스정류소 위치정보
1111063000,2026-07-13,2026-07-13,2026-07-01,2,2,종로5가,311.0,18,29.865,WGS84 좌표의 행정동 경계 포함 여부; 최근접 거리는 행정동 대표 중심점 기준 직선거리,서울특별시 T-DATA 지하철역 좌표정보; 서울 열린데이터광장 서울시 버스정류소 위치정보
1111064000,2026-07-13,2026-07-13,2026-07-01,1,1,혜화,308.0,20,25.582,WGS84 좌표의 행정동 경계 포함 여부; 최근접 거리는 행정동 대표 중심점 기준 직선거리,서울특별시 T-DATA 지하철역 좌표정보; 서울 열린데이터광장 서울시 버스정류소 위치정보
1111065000,2026-07-13,2026-07-13,2026-07-01,0,0,혜화,690.0,38,33.578,WGS84 좌표의 행정동 경계 포함 여부; 최근접 거리는 행정동 대표 중심점 기준 직선거리,서울특별시 T-DATA 지하철역 좌표정보; 서울 열린데이터광장 서울시 버스정류소 위치정보
1111067000,2026-07-13,2026-07-13,2026-07-01,2,2,동묘앞,164.0,8,26.237,WGS84 좌표의 행정동 경계 포함 여부; 최근접 거리는 행정동 대표 중심점 기준 직선거리,서울특별시 T-DATA 지하철역 좌표정보; 서울 열린데이터광장 서울시 버스정류소 위치정보
1111068000,2026-07-13,2026-07-13,2026-07-01,0,0,동대문,486.0,1,3.886,WGS84 좌표의 행정동 경계 포함 여부; 최근접 거리는 행정동 대표 중심점 기준 직선거리,서울특별시 T-DATA 지하철역 좌표정보; 서울 열린데이터광장 서울시 버스정류소 위치정보
1111069000,2026-07-13,2026-07-13,2026-07-01,1,1,창신,195.0,6,27.692,WGS84 좌표의 행정동 경계 포함 여부; 최근접 거리는 행정동 대표 중심점 기준 직선거리,서울특별시 T-DATA 지하철역 좌표정보; 서울 열린데이터광장 서울시 버스정류소 위치정보
1111070000,2026-07-13,2026-07-13,2026-07-01,1,1,창신,311.0,12,50.164,WGS84 좌표의 행정동 경계 포함 여부; 최근접 거리는 행정동 대표 중심점 기준 직선거리,서울특별시 T-DATA 지하철역 좌표정보; 서울 열린데이터광장 서울시 버스정류소 위치정보
1111071000,2026-07-13,2026-07-13,2026-07-01,0,0,신설동,312.0,8,22.751,WGS84 좌표의 행정동 경계 포함 여부; 최근접 거리는 행정동 대표 중심점 기준 직선거리,서울특별시 T-DATA 지하철역 좌표정보; 서울 열린데이터광장 서울시 버스정류소 위치정보
1114052000,2026-07-13,2026-07-13,2026-07-01,3,2,시청,118.0,40,42.414,WGS84 좌표의 행정동 경계 포함 여부; 최근접 거리는 행정동 대표 중심점 기준 직선거리,서울특별시 T-DATA 지하철역 좌표정보; 서울 열린데이터광장 서울시 버스정류소 위치정보
1114054000,2026-07-13,2026-07-13,2026-07-01,5,5,회현(남대문시장),202.0,33,36.783,WGS84 좌표의 행정동 경계 포함 여부; 최근접 거리는 행정동 대표 중심점 기준 직선거리,서울특별시 T-DATA 지하철역 좌표정보; 서울 열린데이터광장 서울시 버스정류소 위치정보
1114055000,2026-07-13,2026-07-13,2026-07-01,1,1,을지로입구,273.0,30,30.964,WGS84 좌표의 행정동 경계 포함 여부; 최근접 거리는 행정동 대표 중심점 기준 직선거리,서울특별시 T-DATA 지하철역 좌표정보; 서울 열린데이터광장 서울시 버스정류소 위치정보
1114057000,2026-07-13,2026-07-13,2026-07-01,2,2,충무로,482.0,10,6.833,WGS84 좌표의 행정동 경계 포함 여부; 최근접 거리는 행정동 대표 중심점 기준 직선거리,서울특별시 T-DATA 지하철역 좌표정보; 서울 열린데이터광장 서울시 버스정류소 위치정보
1114058000,2026-07-13,2026-07-13,2026-07-01,1,1,동대입구,492.0,13,12.782,WGS84 좌표의 행정동 경계 포함 여부; 최근접 거리는 행정동 대표 중심점 기준 직선거리,서울특별시 T-DATA 지하철역 좌표정보; 서울 열린데이터광장 서울시 버스정류소 위치정보
1114059000,2026-07-13,2026-07-13,2026-07-01,3,3,동대문역사문화공원,151.0,24,32.58,WGS84 좌표의 행정동 경계 포함 여부; 최근접 거리는 행정동 대표 중심점 기준 직선거리,서울특별시 T-DATA 지하철역 좌표정보; 서울 열린데이터광장 서울시 버스정류소 위치정보
1114060500,2026-07-13,2026-07-13,2026-07-01,4,3,을지로4가,111.0,17,27.815,WGS84 좌표의 행정동 경계 포함 여부; 최근접 거리는 행정동 대표 중심점 기준 직선거리,서울특별시 T-DATA 지하철역 좌표정보; 서울 열린데이터광장 서울시 버스정류소 위치정보
1114061000,,,,,,,,,,,
1114061500,2026-07-13,2026-07-13,2026-07-01,2,1,신당,222.0,8,14.966,WGS84 좌표의 행정동 경계 포함 여부; 최근접 거리는 행정동 대표 중심점 기준 직선거리,서울특별시 T-DATA 지하철역 좌표정보; 서울 열린데이터광장 서울시 버스정류소 위치정보
1114062000,,,,,,,,,,,
1114062500,2026-07-13,2026-07-13,2026-07-01,2,2,약수,192.0,8,15.276,WGS84 좌표의 행정동 경계 포함 여부; 최근접 거리는 행정동 대표 중심점 기준 직선거리,서울특별시 T-DATA 지하철역 좌표정보; 서울 열린데이터광장 서울시 버스정류소 위치정보
1114063000,,,,,,,,,,,
1114063500,2026-07-13,2026-07-13,2026-07-01,2,1,버티고개,371.0,12,24.698,WGS84 좌표의 행정동 경계 포함 여부; 최근접 거리는 행정동 대표 중심점 기준 직선거리,서울특별시 T-DATA 지하철역 좌표정보; 서울 열린데이터광장 서울시 버스정류소 위치정보
1114064000,,,,,,,,,,,
1114064500,2026-07-13,2026-07-13,2026-07-01,0,0,청구,401.0,5,14.607,WGS84 좌표의 행정동 경계 포함 여부; 최근접 거리는 행정동 대표 중심점 기준 직선거리,서울특별시 T-DATA 지하철역 좌표정보; 서울 열린데이터광장 서울시 버스정류소 위치정보
1114065000,2026-07-13,2026-07-13,2026-07-01,1,1,신당,298.0,8,25.051,WGS84 좌표의 행정동 경계 포함 여부; 최근접 거리는 행정동 대표 중심점 기준 직선거리,서울특별시 T-DATA 지하철역 좌표정보; 서울 열린데이터광장 서울시 버스정류소 위치정보
1114066000,,,,,,,,,,,
1114066500,2026-07-13,2026-07-13,2026-07-01,0,0,청구,412.0,4,12.24,WGS84 좌표의 행정동 경계 포함 여부; 최근접 거리는 행정동 대표 중심점 기준 직선거리,서울특별시 T-DATA 지하철역 좌표정보; 서울 열린데이터광장 서울시 버스정류소 위치정보
1114067000,2026-07-13,2026-07-13,2026-07-01,0,0,신당,339.0,7,21.316,WGS84 좌표의 행정동 경계 포함 여부; 최근접 거리는 행정동 대표 중심점 기준 직선거리,서울특별시 T-DATA 지하철역 좌표정보; 서울 열린데이터광장 서울시 버스정류소 위치정보
1114068000,2026-07-13,2026-07-13,2026-07-01,0,0,충정로(경기대입구),300.0,9,18.598,WGS84 좌표의 행정동 경계 포함 여부; 최근접 거리는 행정동 대표 중심점 기준 직선거리,서울특별시 T-DATA 지하철역 좌표정보; 서울 열린데이터광장 서울시 버스정류소 위치정보
1117051000,2026-07-13,2026-07-13,2026-07-01,0,0,서울역,781.0,16,18.491,WGS84 좌표의 행정동 경계 포함 여부; 최근접 거리는 행정동 대표 중심점 기준 직선거리,서울특별시 T-DATA 지하철역 좌표정보; 서울 열린데이터광장 서울시 버스정류소 위치정보
